Timestamp,The lawyer spoke with the tailor about his university,The worker told the pedestrian that she was repairing the sidewalk as quickly as possible,The clerk provided the customer with paperwork for him to fill out,The guard asked the teacher if he could bake a cake,The salesperson spoke with the auditor about his personal goals,The farmer spoke with the paralegal about his frustrations with work,The laborer told the paralegal that he could estimate how long the wait would be,The analyst told the clerk that he could sign the document,The construction worker disclosed to the receptionist that he could eat a sandwich,The mechanic called to inform the customer that he had completed the repair,The analyst told the auditor that he could pay with cash,The laborer disclosed to the receptionist that he could sign the document,The engineer informed someone that they would need more time to complete the project,The guard notified the auditor that his the application was under review,The chief spoke with the clerk about his desire to study,The CEO spoke with the accountant about his love for coffee,The lawyer disclosed to the cleaner that he can eat meat,The homeowner asked the inspector if the house she had purchased was structurally sound,The educator was meeting with a student to discuss her writing skills,The carpenter notified the designer that his the performance was unsatisfactory,The guard notified the teacher that his the concert was appreciated,The supervisor gave the employee feedback on his stellar performance,The analyst told the librarian that he could help with tax preparation,The mechanic called to inform the customer that her car would be ready in the morning,The chief told the teacher that he can do 100 push ups,The accountant notified the nurse that his the work was unsatisfactory,The customer asked to speak with the manager because she would be able to fix the billing error,The technician told the nurse that he could sign the document,The pharmacist told the patient that he recommended taking the pills with food,The engineer notified the teacher that his the performance was unsatisfactory,mTurk ID
6/30/2021 2:41:40,6,2,3,3,6,7,5,5,5,4,4,5,8,7,8,5,3,4,4,7,6,6,8,6,5,8,8,5,8,8,A1NYV6LPHCYADS
7/3/2021 9:20:08,8,7,6,7,6,7,7,6,7,6,6,7,6,7,6,6,6,7,6,6,7,6,7,7,6,7,6,6,7,6,A16GH5GPKBX5GA
7/3/2021 9:20:52,6,5,7,5,7,6,7,6,7,5,7,6,7,7,7,6,7,6,7,6,7,7,6,7,6,7,7,6,7,6,A3DJFQ6E9NKSCF
7/3/2021 9:20:58,9,10,9,9,10,9,9,10,9,9,10,9,10,9,9,10,9,9,10,10,9,9,10,9,9,10,9,9,10,9,A21L7K4NROSSF5
7/3/2021 9:21:03,10,9,10,9,10,9,10,9,10,9,10,9,9,10,9,10,9,10,9,10,9,10,10,9,10,9,10,9,10,9,A3LYKC6UUYWBNW
7/3/2021 9:21:16,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,A1DM8QQJ95M0N2
7/3/2021 9:21:48,10,9,10,8,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,AT13O9Y4E9RUV
7/3/2021 9:21:49,10,9,10,9,10,9,10,9,10,9,9,10,9,10,9,10,9,10,9,9,10,9,10,10,9,10,9,10,9,10,A1KIAFYTOPEV2T
7/3/2021 9:21:56,7,4,8,6,3,6,4,8,4,6,4,6,3,6,3,7,4,6,4,7,4,7,4,7,4,4,6,8,3,7,A3VURMEKHPIATF
7/3/2021 9:21:58,10,9,9,10,9,8,9,10,9,8,9,10,9,8,9,10,9,8,9,8,9,10,8,8,9,8,9,10,8,7,A1O4AAQX2KCD3N
7/3/2021 9:22:04,5,5,5,3,4,5,7,3,7,6,5,4,7,8,4,8,6,7,3,5,5,4,6,7,4,8,5,7,5,8,A2H1RXUC8XNNIW
7/3/2021 9:22:20,9,10,10,8,7,8,7,8,4,10,10,10,10,9,7,7,3,10,10,8,6,10,7,10,6,5,10,8,10,9,A3VFA6HNMEXO9L
7/3/2021 9:23:02,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,A7VQQEIBSM9IU
7/3/2021 9:23:05,9,10,10,7,9,10,9,10,1,10,10,2,10,8,7,6,1,10,10,10,1,10,8,10,2,3,10,8,10,5,A25JNTMLHH5QIF
7/3/2021 9:23:14,9,10,8,7,9,10,9,10,10,9,10,9,10,10,9,8,10,9,9,9,9,10,9,10,9,9,10,8,9,10,A3HD6CI7OF2Q89
7/3/2021 9:23:25,8,10,8,10,8,9,7,10,9,8,10,7,9,10,7,10,8,9,7,10,9,7,10,8,9,7,10,9,8,10,A29AML7RI4I0NT
7/3/2021 9:23:51,8,7,7,7,6,4,3,9,3,10,9,2,7,6,7,5,4,5,7,5,6,4,7,4,7,7,5,5,7,7,A2JOFTF6DJI9GL
7/3/2021 9:23:54,9,10,9,10,9,10,9,10,9,10,9,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,A2XIHO2W7EEP32
7/3/2021 9:24:10,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,AKZ3J53DA84EX
7/3/2021 9:24:20,7,8,9,6,6,7,7,8,6,7,6,7,8,6,7,8,8,7,8,8,9,8,9,7,8,5,7,8,8,7,A3TKUXUTDX6FBF
7/3/2021 9:24:53,4,8,7,4,3,5,8,6,4,5,8,5,3,6,9,4,3,5,7,3,4,5,7,3,3,6,6,8,4,5,A3MUG02LJ4BM9F
7/3/2021 9:25:21,6,4,4,5,4,5,7,9,8,7,7,5,8,7,7,7,7,8,6,6,6,5,8,7,7,7,4,6,5,4,A4D99Y82KOLC8
7/3/2021 9:25:28,8,8,5,8,6,9,4,7,9,5,7,9,6,7,8,4,6,8,8,4,7,8,5,3,7,7,8,5,6,8,A2P429K4D0WM9R
7/3/2021 9:26:14,1,9,3,1,1,1,8,2,9,9,1,9,10,9,9,9,1,1,10,10,9,10,10,9,10,10,10,9,10,10,A2H90QIP05I3LU
7/3/2021 9:26:46,8,10,7,9,7,10,8,6,8,10,7,9,7,9,7,9,7,10,8,7,10,8,7,9,7,10,7,6,9,7,A3U7RDVJNFHHLZ
7/3/2021 9:28:40,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,9,10,A1G1PUPGA9IB7J
7/3/2021 9:29:27,8,8,8,6,8,8,7,7,8,7,8,8,8,7,7,7,8,8,8,7,8,7,8,8,7,8,8,7,7,7,APPU3QLC0TEHI
7/3/2021 9:29:50,8,7,8,7,8,8,9,10,5,10,9,8,8,8,6,7,4,9,10,5,5,9,6,6,4,9,9,9,10,7,A2YBRWIUM45CAJ
7/3/2021 9:30:21,8,10,10,6,7,7,8,9,6,10,7,6,7,6,6,8,7,8,10,9,7,10,10,10,6,4,10,8,10,6,A24HACFFL3EU38
7/3/2021 9:30:41,7,8,7,7,6,6,7,7,6,6,5,7,7,6,6,7,7,6,6,7,7,6,7,7,6,7,6,7,7,7,AMP43R3RISC1J
7/3/2021 9:30:46,1,10,10,1,1,1,10,10,1,10,1,1,10,1,1,1,1,10,10,10,1,1,1,10,1,1,10,1,10,1,A1CQDLI6UA2IW4
7/3/2021 9:31:18,9,9,10,8,9,10,9,9,9,10,9,9,10,9,9,10,9,9,10,9,9,9,9,10,9,10,9,9,10,9,AJWEFOZ0K5GUC
7/3/2021 9:32:16,5,5,8,5,8,8,8,7,6,9,9,9,6,8,5,8,7,9,8,4,4,8,9,10,5,5,5,5,8,5,AA7F7IWJ5RBXO
7/3/2021 9:32:27,2,5,8,2,9,2,3,8,4,10,10,7,6,7,6,4,5,3,9,9,4,9,2,10,2,4,9,8,8,3,A80XRGJXN2D22
7/3/2021 9:32:34,6,8,6,5,6,7,7,6,5,6,7,8,6,6,7,8,7,7,5,6,7,8,6,7,8,6,6,5,5,7,NA
7/3/2021 9:33:54,9,9,5,5,8,10,10,5,5,8,7,7,7,8,9,2,6,7,7,7,7,8,9,8,8,8,8,8,9,9,A29SP68A2HLRRQ
7/3/2021 9:34:55,10,6,9,1,7,9,6,10,1,10,6,5,10,7,10,1,1,6,5,9,10,7,4,10,6,7,8,2,10,6,A2KANCG6BVWYRE
7/3/2021 9:35:01,5,7,8,2,5,2,6,6,2,4,5,5,8,6,4,5,4,3,7,4,3,6,5,7,5,3,3,3,8,4,A18EWG6CNKAO2J
7/3/2021 9:35:45,1,1,1,1,6,6,8,1,1,10,10,10,10,1,10,1,1,10,10,10,10,10,1,10,10,1,10,1,10,1,AWJV1E4SN22KJ
7/3/2021 9:36:05,1,9,9,1,2,1,1,9,1,10,8,1,10,2,1,4,3,1,9,10,3,10,8,10,8,2,10,1,10,1,A2O7GBVG8WF1NY
7/3/2021 9:36:08,4,5,6,4,8,5,5,5,4,7,6,4,4,5,6,3,4,3,8,8,3,7,3,5,4,3,5,4,8,3,A16EBF4F4KII8W
7/3/2021 9:37:03,4,7,5,8,3,1,6,5,5,6,8,5,4,6,5,7,5,7,8,5,8,7,6,5,7,5,7,6,7,8,AY0TTDEU9ZZ4B
7/3/2021 9:38:09,6,3,2,2,4,6,2,7,1,10,7,2,9,3,7,6,7,7,8,8,5,7,7,10,5,5,9,5,9,4,A1UPANX0ADFA33
7/3/2021 9:39:57,2,9,8,4,7,4,9,10,4,10,10,10,10,9,6,7,3,10,10,8,3,10,10,10,9,9,7,9,10,8,A6O1VFV32LBS8 
7/3/2021 9:42:31,6,6,4,8,7,8,7,6,7,5,6,5,5,4,8,8,8,5,7,8,4,3,7,7,3,7,3,7,7,4,A3RBC5DVESRSEB
7/3/2021 9:42:50,3,5,7,7,8,8,7,5,8,7,6,8,9,9,8,8,6,5,7,6,8,8,7,7,5,4,6,8,7,6,A746183X8258H
7/3/2021 9:42:53,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,A1BJKOA0PPK501
7/3/2021 9:43:24,4,9,10,9,8,8,8,9,5,9,8,7,8,2,8,8,3,9,8,2,1,8,8,3,2,1,2,8,8,2,A2ZSL0EDN3H4AT
7/3/2021 9:43:26,6,7,8,8,9,7,7,8,7,8,6,7,6,8,8,6,7,7,8,9,6,6,6,7,7,7,8,8,6,7,AUZ4OOYOPR0C6
7/3/2021 9:43:50,10,9,9,8,9,8,9,8,8,8,9,8,8,8,9,8,9,8,8,9,8,9,9,8,10,9,8,9,10,10,A2JI1AH1YMSBC4
7/3/2021 9:43:55,3,7,8,3,8,6,6,8,2,8,7,7,7,2,3,1,1,7,9,4,3,8,6,8,2,7,2,7,9,4,AH3OLJLKINR6Z 
7/3/2021 9:44:08,2,2,9,1,4,3,4,6,5,9,7,6,9,2,8,7,5,2,9,7,4,8,3,10,4,5,9,3,8,4,A9E9L9MWEZOPN
7/3/2021 9:44:33,7,7,6,7,6,5,7,6,5,7,6,6,8,6,5,6,6,4,6,6,6,5,7,6,4,5,5,4,4,5,A3VCGIVOQAQQH1
7/3/2021 9:44:56,1,10,10,5,5,7,5,10,6,10,8,10,10,8,8,8,2,10,10,10,3,10,8,10,5,3,10,8,10,2,APUB3MEOMP28M
7/3/2021 9:45:28,7,8,7,8,7,7,8,8,8,7,8,8,9,8,8,7,8,7,8,6,7,8,7,7,8,7,8,7,7,7,A3AA2MRQ64FCSG
7/3/2021 9:45:37,6,8,2,7,6,6,2,7,5,7,3,6,6,1,7,7,6,8,5,1,1,8,8,8,8,7,2,8,2,1,A2JG1NAFYN2PMJ
7/3/2021 9:47:26,10,8,9,8,9,8,8,8,9,8,9,8,8,7,8,7,9,8,8,8,10,8,8,8,9,8,9,8,9,8,A1Z3GFH6MNSU46
7/3/2021 9:47:34,3,7,7,2,2,3,4,6,1,7,8,7,7,2,2,1,1,8,9,2,1,8,5,9,1,3,2,2,10,3,AH3OLJLKINR6Z 
7/3/2021 9:47:48,3,10,10,4,8,7,7,8,9,10,8,10,10,8,8,7,5,10,10,4,1,9,6,10,10,9,10,10,10,10,A2752O3APH9E8J
7/3/2021 9:48:01,1,10,6,1,5,5,5,10,1,10,6,1,10,6,1,5,1,10,10,10,1,10,1,10,5,1,1,5,10,1,A3KQVFPRC6AB00
7/3/2021 9:49:23,6,8,10,5,1,7,1,8,5,10,10,10,10,2,1,5,1,1,10,1,1,1,6,10,1,1,1,1,1,1,A28QUR0QYD2WI7
7/3/2021 9:50:33,7,6,3,7,3,6,8,2,1,9,9,8,5,3,5,8,3,8,4,10,2,8,5,9,7,7,7,4,6,3,A8MDCKMZQNEKT
7/3/2021 9:50:41,8,6,7,7,7,6,4,4,6,7,5,6,6,6,6,3,4,6,6,4,4,6,6,6,6,7,5,5,4,7,AB77P0ABU54TS
7/3/2021 9:50:45,7,10,7,9,6,7,8,7,7,8,5,8,8,9,6,8,9,9,8,8,6,6,9,7,10,7,7,6,9,10,A3P57IUDHUKNCE
7/3/2021 9:51:21,2,3,5,1,1,1,1,7,1,8,8,7,5,1,1,3,1,7,10,2,1,7,4,8,1,1,7,5,9,2,AH3OLJLKINR6Z 
7/3/2021 9:51:54,8,9,7,9,8,9,9,8,9,9,10,8,9,9,9,8,9,9,9,9,8,8,8,8,9,9,9,9,9,6,A1AWR7C38PW42P
7/3/2021 9:51:55,7,6,10,8,6,4,9,10,8,5,8,10,8,7,6,8,9,6,10,8,3,8,8,10,4,7,9,7,9,7,A32KY6ARWL8W3E
7/3/2021 9:52:09,9,8,6,7,8,7,7,8,7,6,7,8,7,8,7,7,6,8,6,7,6,7,8,6,7,8,7,6,7,6,A2BR2FSQ3O82TL
7/3/2021 9:53:37,9,7,8,6,8,7,8,7,9,7,9,7,6,7,8,7,6,8,6,6,8,9,7,7,9,6,8,8,7,7,A9LXSGXZM4IJE
7/3/2021 9:53:42,10,9,8,9,9,10,8,10,9,8,9,10,9,7,9,10,8,9,10,8,9,10,9,9,8,9,10,9,8,7,
7/3/2021 9:54:35,5,10,8,1,4,4,4,10,3,10,5,7,10,4,8,8,7,10,10,1,1,10,1,10,3,2,10,10,10,2,A2CWWMMHDJ4MQF
7/3/2021 9:54:38,9,9,6,6,7,7,8,7,6,7,8,8,8,7,9,8,7,6,8,8,7,9,6,7,8,7,6,7,8,9,ASL9LVC97FUCZ
7/3/2021 9:54:39,6,8,3,2,4,9,8,9,7,8,7,8,9,9,8,10,5,8,9,9,9,9,9,10,10,8,9,9,10,9,A1SXX1WCWTCE6A
7/3/2021 9:54:53,8,5,3,9,10,8,9,7,2,9,8,8,10,8,9,1,1,2,10,6,6,7,8,8,1,8,6,8,8,9,A6VNTFUPPEERP
7/3/2021 9:55:01,10,9,10,10,10,9,10,10,9,10,9,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,10,10,A356PXEHXX08GB
7/3/2021 9:55:10,9,10,8,10,8,10,7,9,8,9,7,9,7,9,8,10,8,9,10,8,9,7,9,9,10,9,8,9,10,9,A3AJE1ORZMFDON
7/3/2021 9:56:33,4,7,7,7,6,6,7,5,5,6,4,6,4,6,4,5,4,5,5,6,6,4,5,8,5,6,8,6,9,7,AA5QJRKG3Y0V5
7/3/2021 9:56:35,10,10,9,10,9,7,9,10,10,9,10,9,10,9,10,10,8,7,10,7,10,8,10,10,7,10,10,7,10,10,A3UKN5C1IG1USU
7/3/2021 9:56:54,8,9,7,10,9,9,10,7,9,10,7,9,10,9,7,9,10,8,9,7,9,8,10,8,10,9,8,10,8,9,A3BHKF9NJKCXPB
7/3/2021 9:57:47,10,1,9,8,10,10,10,9,10,9,10,9,10,10,9,10,10,10,9,10,9,10,9,10,9,10,9,10,9,10,A2W2YJINWMFEUO
7/3/2021 9:58:02,7,10,9,1,9,10,1,10,10,10,1,1,1,10,1,9,1,1,1,10,1,10,9,10,9,1,1,1,1,10,AR5AV0OMG1SJU
7/3/2021 9:58:26,6,9,7,9,9,5,8,7,10,5,7,5,9,8,9,4,2,8,7,5,9,7,10,9,4,8,2,8,4,2,AVI6K24O38HET
7/3/2021 10:04:03,8,7,7,8,7,7,7,7,7,6,6,6,6,5,7,6,5,5,5,4,4,7,4,4,5,5,5,6,4,5,A1QXU4Q3CK75FK
7/3/2021 10:04:29,8,7,6,5,9,8,9,10,9,8,9,9,8,8,9,8,5,7,7,8,5,8,7,10,5,6,4,7,9,7,AKP66RIZ3LQVX
7/3/2021 10:05:20,9,7,8,8,8,7,8,6,8,7,7,6,7,7,7,6,5,7,6,5,8,7,8,6,7,5,5,5,7,7,A2SD47UV25XSGN
7/3/2021 10:10:57,4,8,5,8,7,9,7,3,3,4,3,3,7,1,8,7,6,7,9,3,9,9,4,4,7,2,3,3,4,2,A93HHQ9DI0201
7/3/2021 10:11:01,8,10,3,1,1,9,9,9,1,9,8,1,6,9,4,8,1,4,9,1,5,9,6,10,6,1,9,3,8,1,AKA81MPXUELWS
7/3/2021 10:11:54,1,5,10,1,3,1,1,9,1,10,10,9,9,1,1,1,1,1,5,1,1,10,1,10,1,1,10,3,2,1,A2D6PWP2IZ5F82
7/3/2021 10:14:01,8,10,6,5,8,1,5,6,2,10,9,6,10,1,1,5,1,1,10,2,1,10,2,10,6,1,4,2,10,1,A3OZ2T19XDQ954
7/3/2021 10:16:27,3,9,10,1,2,1,4,3,1,10,9,5,10,1,1,1,1,10,10,1,1,1,1,10,1,1,10,1,10,1,A1PZ6FQ0WT3ROZ
7/3/2021 10:17:27,6,10,10,2,3,2,2,9,1,10,1,3,10,1,2,8,1,10,10,9,1,10,4,10,1,3,10,2,10,2,A3KPTMW26I2SVE
7/3/2021 10:18:20,7,3,10,3,4,5,6,9,3,10,9,1,9,2,6,8,4,3,9,3,1,8,10,9,4,2,3,3,10,1,A33VECGUNA4YSB
